Vehicle type you use? ,Location ,Which platform do you Primarily drive for? ,"Do you prefer any other platforms, If yes, then which?","Do you prefer any other platforms, If yes, then which?2",Age of driver?,Are you a full-time or part-time driver?,Main reason for preferring platform ?,Driving experience on ride-hailing platforms? ,Average Daily Earnings?,Which platform provides you the highest number of rides? ,How often do you get back-to-back rides on each app?   [Ola],How often do you get back-to-back rides on each app?   [Uber],How often do you get back-to-back rides on each app?   [Rapido],How many rides do you complete daily on average? ,Average working hours per day? ,Please rate the ride demand during the following non‑office hours. [Atfernoon (12 PM - 5 PM)],Please rate the ride demand during the following non‑office hours. [Night (9 PM - 12 AM)],Please rate the ride demand during the following non‑office hours. [Late Night (12 AM - 7 AM)],"Is there any difference for average rides in weekdays and weekends,if yes which days have more rides?","Does riding distance affects your income per ride, if yes, then which type of rides do you prefer?",Biggest challenge you face as a driver  ,Which app‑related issues do you face most often?,Which improvement would most increase your satisfaction as a driver? ,Please rate your satisfaction level for each app   [Uber],Please rate your satisfaction level for each app   [Ola],Please rate your satisfaction level for each app   [Rapido]
Auto-rickshaw,Malls,Uber,Uber,,33,Full Time,More rides,3 to 5 years,2000,Uber,,4,,15,6 to 8 hours,1,2,2,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",Not much difference,Customer behavior,No issues,Higher fares (meter-wise),4,,
Auto-rickshaw,Malls,Uber,Uber,,43,Full Time,More rides,3 to 5 years,2000,Uber,,4,,32,8 to 10 hours,,3,,"Monday, Tuesday, Wednesday",Not much difference,Long waiting times,No issues,Higher fares (meter-wise);Reduced commission,4,,
Auto-rickshaw,Random,Uber,Uber,,36,Full Time,More rides,3 to 5 years,1800,Uber,,2,,18,8 to 10 hours,1,3,2,"Monday, Tuesday, Wednesday",Shorter,Customer behavior,No issues,Higher fares (meter-wise),4,,
Auto-rickshaw,Random,Uber,Uber,,45,Full Time,More rides,3 to 5 years,1900,Uber,,4,,17,8 to 10 hours,1,3,1,"Saturday, Sunday",Shorter,Long waiting times,No issues,Higher fares (meter-wise);More rides,4,,
Auto-rickshaw,Random,Uber,Ola,,21,Full Time,More rides,1 to 3 years,1600,Uber,3,3,,15,8 to 10 hours,1,2,,Sunday,Longer,Low earnings,GPS/location issues,Higher fares (meter-wise),4,3,4
Auto-rickshaw,Random,Rapido,Uber,,48,Full Time,More rides,1 to 3 years,1300,Uber,3,,3,15,8 to 10 hours,1,,,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",Not much difference,Long waiting times,No issues,More rides,1,1,3
Auto-rickshaw,Random,Ola,Uber,,27,Full Time,Lower commission charges;More rides,1 to 3 years,1600,Ola,4,,,12,6 to 8 hours,2,2,,"Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",Not much difference,Long waiting times,App crashes or slow performance,Higher fares (meter-wise),3,4,1
Auto-rickshaw,Random,Uber,Rapido,Ola,33,Full Time,Lower commission charges;More rides,3 to 5 years,2000,Uber,,4,,20,More than 10 hours,1,,,"Monday, Thursday",Not much difference,Long waiting times,App crashes or slow performance;GPS/location issues,Higher fares (meter-wise),4,4,3
Car,Random,Rapido,Rapido,,45,Full Time,More rides,1 to 3 years,2700,Rapido,,,4,10,More than 10 hours,2,,,"Monday, Sunday",Not much difference,Long waiting times,No issues,Higher fares (meter-wise),2,2,4
Auto-rickshaw,Random,Uber,Rapido,Ola,38,Full Time,More rides,More than 5 years,700,Uber,3,3,3,10,More than 10 hours,1,,,Monday,Longer,Low earnings,No issues,Higher fares (meter-wise),4,1,2
Auto-rickshaw,Random,Rapido,Ola,,42,Full Time,More rides,1 to 3 years,1500,Ola,3,,,12,More than 10 hours,1,,,"Monday, Sunday",Shorter,Long waiting times,No issues,Higher fares (meter-wise),1,3,4
Auto-rickshaw,Random,Uber,Ola,,23,Full Time,More rides,1 to 3 years,1600,Uber,,4,,15,8 to 10 hours,1,,,Monday,Not much difference,Long waiting times,No issues,Higher fares (meter-wise),3,1,3
Auto-rickshaw,Random,Uber,Ola,,32,Full Time,More rides,1 to 3 years,1500,Ola,3,3,,20,More than 10 hours,1,,,Saturday,Longer,Low earnings;Long waiting times,GPS/location issues,Higher fares (meter-wise),4,2,4
Auto-rickshaw,Random,Ola,Uber,,22,Full Time,Lower commission charges;More rides,1 to 3 years,900,Rapido,2,2,2,6,More than 10 hours,1,,,Thursday,Not much difference,Low earnings;Long waiting times,GPS/location issues,Higher fares (meter-wise),4,3,2
Auto-rickshaw,Random,Uber,Ola,,29,Full Time,Lower commission charges,More than 5 years,1000,Ola,3,2,2,15,More than 10 hours,,,,"Monday, Wednesday",Not much difference,Low earnings;Customer behavior,No issues,Higher fares (meter-wise),3,3,1
Auto-rickshaw,Random,Uber,Rapido,Ola,65,Full Time,More rides,3 to 5 years,2100,Uber,,3,3,15,More than 10 hours,1,,,Sunday,Not much difference,Long waiting times,App crashes or slow performance;GPS/location issues,Higher fares (meter-wise);More rides,1,2,3
Car,Malls,Ola,Ola,,30,Full Time,Lower commission charges,1 to 3 years,3000,Ola,4,,,14,6 to 8 hours,1,3,1,"Monday, Tuesday",Shorter,Low earnings;Customer behavior,No issues,Higher fares (meter-wise);More rides,2,4,2
Auto-rickshaw,Malls,Rapido,Rapido,,41,Full Time,Lower commission charges,1 to 3 years,800,Rapido,3,3,4,18,8 to 10 hours,2,2,2,"Saturday, Sunday",Not much difference,Low earnings,No issues,More rides,2,1,4
Auto-rickshaw,Malls,Uber,Uber,,46,Full Time,More rides,More than 5 years,1000,Uber,3,4,2,20,8 to 10 hours,1,3,2,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",Not much difference,Low earnings,No issues,Higher fares (meter-wise);More rides,3,,
Car,Malls,Uber,Ola,Uber,41,Full Time,More rides,More than 5 years,2500,Uber,4,4,,20,More than 10 hours,1,3,2,"Monday, Tuesday, Wednesday, Thursday, Friday",Not much difference,Low earnings,No issues,Better incentives,4,3,
Auto-rickshaw,Malls,Ola,Ola,,32,Full Time,Lower commission charges,3 to 5 years,900,Ola,4,,,14,6 to 8 hours,2,2,1,"Friday, Saturday, Sunday",Not much difference,Long waiting times,No issues,Higher fares (meter-wise);More rides,3,4,
Auto-rickshaw,Malls,Uber,Uber,,40,Part Time,More rides,3 to 5 years,1700,Rapido,3,4,2,9,Less than 6 hours,1,1,1,"Monday, Tuesday, Wednesday, Thursday",Shorter,Long waiting times;Customer behavior,Poor customer support response,Higher fares (meter-wise);More rides,4,,
Auto-rickshaw,Malls,Uber,Uber,,35,Full Time,More rides,1 to 3 years,1900,Uber,,4,,19,More than 10 hours,2,1,1,"Monday, Tuesday, Wednesday, Thursday, Friday",Not much difference,Long waiting times,App crashes or slow performance;Poor customer support response,Higher fares (meter-wise);More rides,4,,
Car,Malls,Ola,Ola,,31,Part Time,More rides,1 to 3 years,2400,Ola,4,3,2,8,Less than 6 hours,1,2,2,"Monday, Tuesday",Not much difference,Low earnings,No issues,More rides,3,4,1
Auto-rickshaw,Malls,Uber,Uber,,43,Full Time,More rides,1 to 3 years,1900,Uber,2,4,,20,More than 10 hours,2,2,1,"Saturday, Sunday",Not much difference,Long waiting times,No issues,Higher fares (meter-wise),4,3,
Car,Malls,Ola,Ola,,47,Full Time,More rides,3 to 5 years,1500,Ola,4,3,2,16,8 to 10 hours,2,3,1,"Saturday, Sunday",Not much difference,Customer behavior,App crashes or slow performance,Higher fares (meter-wise);More rides,,4,
Auto-rickshaw,Malls,Uber,Ola,,41,Full Time,More rides,3 to 5 years,2100,Uber,3,4,2,16,8 to 10 hours,1,2,,"Saturday, Sunday",Longer,Long waiting times,App crashes or slow performance;GPS/location issues,Higher fares (meter-wise);More rides,4,4,1
Car,Malls,Ola,Ola,,29,Part Time,More rides,1 to 3 years,2800,Ola,4,3,2,14,6 to 8 hours,1,2,2,"Monday, Tuesday, Wednesday",Not much difference,Low earnings,No issues,More rides,,4,
Auto-rickshaw,Malls,Uber,Uber,,35,Part Time,More rides,3 to 5 years,1300,Uber,,4,,7,Less than 6 hours,1,3,2,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",Not much difference,Low earnings,No issues,Higher fares (meter-wise),4,,
Car,Airport,Uber,Uber,,48,Full Time,More rides,More than 5 years,2000,Uber,,4,,20,More than 10 hours,2,4,1,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",Not much difference,Low earnings,No issues,More rides,4,,
Auto-rickshaw,Airport,Uber,Ola,Uber,52,Full Time,More rides,More than 5 years,1800,Uber,4,3,,12,6 to 8 hours,2,3,1,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",Not much difference,Low earnings,No issues,More rides,4,3,
Auto-rickshaw,Airport,Ola,Ola,,31,Full Time,More rides,3 to 5 years,1300,Ola,4,,,20,More than 10 hours,1,3,2,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",Not much difference,Low earnings,No issues,Higher fares (meter-wise),,4,
Car,Airport,Uber,Ola,Uber,42,Full Time,More rides,More than 5 years,2300,Uber,4,4,,15,8 to 10 hours,4,2,1,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",Not much difference,Low earnings,No issues,Higher fares (meter-wise);More rides,4,,
Auto-rickshaw,Airport,Uber,Ola,Uber,36,Full Time,More rides,3 to 5 years,1900,Uber,4,3,,20,More than 10 hours,1,3,2,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",Not much difference,Low earnings,No issues,More rides,4,4,
Car,Airport,Uber,Uber,,38,Full Time,More rides,3 to 5 years,2500,Uber,,4,,15,8 to 10 hours,2,3,2,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",Not much difference,Low earnings,No issues,More rides,3,,
Auto-rickshaw,Airport,Ola,Ola,Uber,30,Full Time,More rides,1 to 3 years,1200,Ola,4,4,,20,More than 10 hours,1,4,3,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",Not much difference,Low earnings,No issues,More rides,3,4,
Car,Airport,Uber,Ola,Uber,43,Full Time,More rides,More than 5 years,3500,Uber,4,4,,15,8 to 10 hours,1,3,2,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",Not much difference,Low earnings,No issues,More rides,4,3,
Auto-rickshaw,Random,Uber,Uber,,42,Full Time,More rides,3 to 5 years,1850,Uber,,4,,17,8 to 10 hours,1,2,1,"Saturday, Sunday",Shorter,Long waiting times;Customer behavior,No issues,Higher fares (meter-wise),4,,
Auto-rickshaw,Airport,Uber,Ola,,31,Full Time,Lower commission charges,1 to 3 years,1500,Uber,,3,3,8,More than 10 hours,1,,,"Saturday, Sunday",Not much difference,Low earnings;Long waiting times,No issues,Higher fares (meter-wise),2,2,1
Car,Airport,Ola,Uber,,32,Full Time,More rides,More than 5 years,2500,Ola,4,3,,10,More than 10 hours,1,2,3,"Saturday, Sunday",Shorter,Low earnings,No issues,More rides,4,4,
Car,Airport,Ola,Uber,,30,Part Time,Lower commission charges,3 to 5 years,3200,Rapido,3,,4,10,More than 10 hours,,3,2,"Thursday, Friday, Saturday, Sunday",Longer,Long waiting times,No issues,Higher fares (meter-wise),1,3,4
Car,Airport,Rapido,Ola,Uber,24,Full Time,More rides,3 to 5 years,3000,Uber,,4,,6,More than 10 hours,2,1,2,"Saturday, Sunday",Longer,Long waiting times,No issues,Higher fares (meter-wise),4,1,1
